"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"5001300US0200","Congressional District (at Large) (113th Congress), Alaska","731449","*****","381094","1702","96950","1485","93769","1861","3181","964","809","633","2372","622","284144","873","263113","1747","21031","1606","10721","1426","10310","1491","350355","1702","90315","1470","87046","1684","3269","1500","1287","648","1982","1287","260040","875","235208","2012","24832","1941","14471","1699","10361","1769"
"5001300US1000","Congressional District (at Large) (113th Congress), Delaware","917092","*****","444691","881","104630","810","101211","1366","3419","1006","1262","679","2157","868","340061","629","306846","2466","33215","2487","15869","1776","17346","1834","472401","881","100290","815","97970","989","2320","836","1124","576","1196","556","372111","523","333568","2653","38543","2613","19827","1809","18716","2055"
"5001300US1198","Delegate District (at Large) (113th Congress), District of Columbia","632323","*****","299036","318","54984","355","52802","684","2182","643","516","293","1666","664","244052","267","201810","2842","42242","2789","16895","2192","25347","2463","333287","318","54468","263","51926","771","2542","748","920","464","1622","682","278819","281","235462","2955","43357","2889","18017","1760","25340","2511"
"5001300US3000","Congressional District (at Large) (113th Congress), Montana","1005141","*****","503458","1842","112802","1088","112348","1171","454","270","184","159","270","225","390656","1649","383698","2183","6958","1305","3595","923","3363","991","501683","1842","107338","1351","106421","1355","917","398","638","368","279","179","394345","1371","384330","1827","10015","1406","5996","1087","4019","895"
"5001300US3800","Congressional District (at Large) (113th Congress), North Dakota","699628","*****","357591","1433","79683","1089","78402","988","1281","519","288","238","993","471","277908","1129","269148","1925","8760","1598","3497","1164","5263","922","342037","1433","74415","977","73206","1110","1209","448","270","239","939","428","267622","1218","259492","1451","8130","1203","4177","891","3953","912"
"5001300US4600","Congressional District (at Large) (113th Congress), South Dakota","833354","*****","417803","1674","104311","1476","102881","1441","1430","495","289","230","1141","469","313492","1411","302769","2006","10723","1624","3756","1078","6967","1337","415551","1674","99911","1408","98666","1360","1245","565","236","168","1009","548","315640","1200","306181","1673","9459","1320","4523","1051","4936","876"
"5001300US5000","Congressional District (at Large) (113th Congress), Vermont","626011","*****","309184","980","64155","813","63022","822","1133","485","414","258","719","414","245029","1001","235157","1547","9872","1176","6254","969","3618","635","316827","980","59734","662","58683","732","1051","348","530","317","521","190","257093","866","243608","1375","13485","1430","8218","1193","5267","893"
"5001300US5600","Congressional District (at Large) (113th Congress), Wyoming","576412","*****","292736","1854","70374","1607","69390","1689","984","523","357","198","627","490","222362","1288","215380","1638","6982","1207","2099","721","4883","1106","283676","1854","66236","1480","64934","1438","1302","427","603","297","699","276","217440","1167","207188","1778","10252","1604","4259","945","5993","1268"
"5001300US7298","Resident Commissioner District (at Large) (113th Congress), Puerto Rico","3667084","*****","1757273","2739","437454","2735","435490","2881","1964","731","418","336","1546","654","1319819","*****","1275831","3045","43988","3044","17747","1709","26241","2675","1909811","2739","411907","2741","410685","2831","1222","456","340","260","882","397","1497904","*****","1446249","3985","51655","3987","21601","2435","30054","2873"
