"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"5001100US0200","Congressional District (at Large) (111th Congress), Alaska","713985","*****","372436","1772","98315","1802","97272","1966","1043","547","233","245","810","501","274121","911","250312","2103","23809","2346","11346","1622","12463","2146","341549","1772","90070","1594","88629","1592","1441","571","724","343","717","410","251479","691","228453","1925","23026","1867","11799","1572","11227","1422"
"5001100US0502","Congressional District 2 (111th Congress), Arkansas","753672","*****","367381","1692","93129","1384","90889","1353","2240","852","169","236","2071","822","274252","1739","258383","2567","15869","2401","4387","1270","11482","2382","386291","1692","87430","1360","85657","1636","1773","840","306","404","1467","753","298861","1521","283631","2151","15230","1801","5356","1120","9874","1764"
"5001100US1000","Congressional District (at Large) (111th Congress), Delaware","899769","*****","436608","1451","105506","1060","102855","1326","2651","901","946","529","1705","802","331102","968","299763","2341","31339","2239","13985","1689","17354","2022","463161","1451","100563","969","97523","1191","3040","726","1025","452","2015","662","362598","908","327760","2230","34838","2149","17517","1886","17321","1922"
"5001100US1198","Delegate District (at Large) (111th Congress), District of Columbia","604453","*****","285729","795","51496","652","49059","1019","2437","819","763","430","1674","752","234233","366","194637","2848","39596","2855","15179","1986","24417","2529","318724","795","49771","582","48182","889","1589","908","505","352","1084","793","268953","485","230841","3016","38112","2953","15965","2104","22147","2391"
"5001100US3000","Congressional District (at Large) (111th Congress), Montana","990898","*****","499235","2028","116012","1628","115009","1714","1003","458","370","288","633","342","383223","1620","376947","2009","6276","1398","3147","969","3129","827","491663","2028","106588","1553","105282","1658","1306","634","871","560","435","308","385075","1306","373629","1845","11446","1767","7118","1372","4328","995"
"5001100US3800","Congressional District (at Large) (111th Congress), North Dakota","674499","*****","343445","1580","79236","1364","77740","1243","1496","685","250","195","1246","631","264209","1256","257039","1384","7170","1364","2368","725","4802","1078","331054","1580","71221","1248","70525","1232","696","359","161","197","535","305","259833","1007","252556","1196","7277","943","3411","704","3866","678"
"5001100US4600","Congressional District (at Large) (111th Congress), South Dakota","816463","*****","411170","2367","105782","1858","103612","1927","2170","1120","669","445","1501","1068","305388","1680","294711","1452","10677","1773","4759","1214","5918","1623","405293","2367","96298","1867","94813","1976","1485","777","389","342","1096","754","308995","1083","301089","1395","7906","1065","3266","852","4640","945"
"5001100US5000","Congressional District (at Large) (111th Congress), Vermont","625960","*****","308172","1012","66943","1105","65589","1022","1354","600","411","246","943","544","241229","971","230164","1713","11065","1552","6689","1339","4376","1037","317788","1012","62718","800","60574","902","2144","724","1405","587","739","392","255070","871","242073","1520","12997","1260","8089","1152","4908","955"
"5001100US5600","Congressional District (at Large) (111th Congress), Wyoming","564460","*****","287053","2431","69794","1702","69271","1743","523","296","66","81","457","282","217259","1520","210017","1708","7242","1369","3004","1046","4238","1094","277407","2431","66924","1757","65032","1808","1892","1203","506","516","1386","1123","210483","1577","204297","1814","6186","1291","2871","817","3315","953"
