,Member Name,Birth-Death,Position,Party,State,Election_year
609,"WALSH, John E.",1960- ,Senator,Democrat,MT,2014.0
610,,,,,,
611,"WARNER, Mark R.",1954- ,Senator,Democrat,VA,2014.0
612,,,,,,
613,"WARREN, Elizabeth",1949- ,Senator,Democrat,MA,2014.0
614,,,,,,
615,"WHITEHOUSE, Sheldon",1955- ,Senator,Democrat,RI,2014.0
616,,,,,,
617,"WICKER, Roger F.",1951- ,Senator,Republican,MS,2014.0
618,,,,,,
619,"WYDEN, Ronald Lee",1949- ,Senator,Democrat,OR,2014.0
620,,,,,,
