"GEO_ID","NAME","B29001_001E","B29001_001M","B29001_002E","B29001_002M","B29001_003E","B29001_003M","B29001_004E","B29001_004M","B29001_005E","B29001_005M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!18 to 29 years","Margin of Error!!Total!!18 to 29 years","Estimate!!Total!!30 to 44 years","Margin of Error!!Total!!30 to 44 years","Estimate!!Total!!45 to 64 years","Margin of Error!!Total!!45 to 64 years","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over"
"5001600US4216","Congressional District 16 (116th Congress), Pennsylvania","539710","2919","105421","1709","112260","1877","188904","2314","133125","1684"
"5001600US4217","Congressional District 17 (116th Congress), Pennsylvania","559285","6462","89713","4065","129224","4370","201518","4124","138830","3625"
"5001600US4218","Congressional District 18 (116th Congress), Pennsylvania","544390","6168","124197","4066","125413","4454","167548","3959","127232","3629"
"5001600US4401","Congressional District 1 (116th Congress), Rhode Island","395409","6058","86516","4389","88010","3008","131729","4477","89154","3188"
"5001600US4402","Congressional District 2 (116th Congress), Rhode Island","407668","6982","90505","4521","86605","3359","142807","4382","87751","3092"
"5001600US4501","Congressional District 1 (116th Congress), South Carolina","613912","6942","117100","3752","152845","3775","199262","3355","144705","2856"
"5001600US4502","Congressional District 2 (116th Congress), South Carolina","537342","7030","112273","4457","126169","3793","183210","3289","115690","2294"
"5001600US4503","Congressional District 3 (116th Congress), South Carolina","534772","4868","110832","2972","113351","3207","180995","2982","129594","2005"
"5001600US4504","Congressional District 4 (116th Congress), South Carolina","533533","6329","114689","2691","122139","3302","181414","3325","115291","2404"
"5001600US4505","Congressional District 5 (116th Congress), South Carolina","552247","4381","107394","2761","130685","2862","191844","4206","122324","1980"
"5001600US4506","Congressional District 6 (116th Congress), South Carolina","506843","10563","135079","6066","116303","5296","151193","5058","104268","3608"
"5001600US4507","Congressional District 7 (116th Congress), South Carolina","571428","3454","100281","2796","116934","2982","194600","2871","159613","1938"
"5001600US4600","Congressional District (at Large) (116th Congress), South Dakota","647089","2674","135924","2341","154204","2289","211141","1858","145820","1007"
"5001600US4701","Congressional District 1 (116th Congress), Tennessee","563918","3157","101879","1808","115573","2045","199303","1766","147163","1149"
"5001600US4702","Congressional District 2 (116th Congress), Tennessee","583056","3129","126317","1844","126787","2312","195284","2150","134668","1761"
"5001600US4703","Congressional District 3 (116th Congress), Tennessee","571456","3926","107332","2624","127851","2333","199140","2857","137133","2148"
"5001600US4704","Congressional District 4 (116th Congress), Tennessee","590540","4743","131798","2644","139598","3310","202170","3995","116974","2602"
"5001600US4705","Congressional District 5 (116th Congress), Tennessee","563797","5435","138645","2927","154933","2562","174676","1982","95543","1088"
"5001600US4706","Congressional District 6 (116th Congress), Tennessee","591603","3690","110663","2299","133871","2327","208991","2442","138078","1843"
"5001600US4707","Congressional District 7 (116th Congress), Tennessee","578288","3700","115496","2116","148381","3217","198625","2454","115786","1632"
"5001600US4708","Congressional District 8 (116th Congress), Tennessee","525277","4889","95988","3296","118670","3413","187803","3562","122816","2839"
"5001600US4709","Congressional District 9 (116th Congress), Tennessee","507231","5835","128416","2891","126301","3782","164660","3287","87854","2707"
"5001600US4801","Congressional District 1 (116th Congress), Texas","511974","4743","116139","2831","115651","3340","162219","3203","117965","2154"
"5001600US4802","Congressional District 2 (116th Congress), Texas","520180","17389","110982","8677","153422","8956","165265","8845","90511","5504"
"5001600US4803","Congressional District 3 (116th Congress), Texas","563318","7999","107159","4580","151459","4924","211761","3751","92939","2772"
"5001600US4804","Congressional District 4 (116th Congress), Texas","543354","5315","101034","2875","130722","4575","185907","3680","125691","2233"
"5001600US4805","Congressional District 5 (116th Congress), Texas","480610","7387","99057","5149","124188","4937","157352","4765","100013","2963"
"5001600US4806","Congressional District 6 (116th Congress), Texas","554709","11109","125279","6148","151253","6419","187069","5885","91108","4203"
"5001600US4807","Congressional District 7 (116th Congress), Texas","448262","17967","94925","7980","122431","8709","152485","8256","78421","5385"
"5001600US4808","Congressional District 8 (116th Congress), Texas","584039","8995","114865","4433","153896","5713","199843","5632","115435","2726"
"5001600US4809","Congressional District 9 (116th Congress), Texas","445634","16319","125106","7962","112131","8042","138785","7156","69612","4256"
"5001600US4810","Congressional District 10 (116th Congress), Texas","593629","15051","124192","9067","163629","8541","195137","8171","110671","4730"
"5001600US4811","Congressional District 11 (116th Congress), Texas","542570","6851","125640","4216","132612","4375","164392","4265","119926","2475"
"5001600US4812","Congressional District 12 (116th Congress), Texas","572411","11504","126234","6401","147586","6604","195434","7204","103157","3844"
"5001600US4813","Congressional District 13 (116th Congress), Texas","493390","5774","107099","3166","120804","3078","159812","3104","105675","1851"
"5001600US4814","Congressional District 14 (116th Congress), Texas","532153","6811","110575","2959","137967","3407","180436","3934","103175","2319"
"5001600US4815","Congressional District 15 (116th Congress), Texas","435170","10959","127796","5836","109100","4889","126966","5116","71308","4080"
"5001600US4816","Congressional District 16 (116th Congress), Texas","458940","7531","133726","4053","123299","4353","124935","4201","76980","2380"
"5001600US4817","Congressional District 17 (116th Congress), Texas","550601","9229","171731","4474","129226","4806","155299","6021","94345","2618"
"5001600US4818","Congressional District 18 (116th Congress), Texas","480387","17751","126644","7297","138713","7995","144541","6719","70489","5037"
"5001600US4819","Congressional District 19 (116th Congress), Texas","509891","4649","141466","2800","125507","3479","145193","3246","97725","2058"
"5001600US4820","Congressional District 20 (116th Congress), Texas","549483","15793","160406","8396","149365","8057","153772","5985","85940","4503"
"5001600US4821","Congressional District 21 (116th Congress), Texas","622228","13955","142173","7798","157270","7794","194292","7451","128493","4827"
"5001600US4822","Congressional District 22 (116th Congress), Texas","577164","14484","115523","7208","160247","6599","205845","7171","95549","4029"
"5001600US4823","Congressional District 23 (116th Congress), Texas","507547","12255","122847","5544","136998","7137","153042","6587","94660","5050"
"5001600US4824","Congressional District 24 (116th Congress), Texas","503766","10913","107198","6738","135318","6256","175632","6414","85618","4510"
"5001600US4825","Congressional District 25 (116th Congress), Texas","570238","11587","120182","8504","151528","5169","184393","5140","114135","3856"
"5001600US4826","Congressional District 26 (116th Congress), Texas","605249","8073","131803","4980","172846","6130","213256","5311","87344","2926"
"5001600US4827","Congressional District 27 (116th Congress), Texas","517267","6497","108956","3318","128370","3642","165306","4275","114635","2636"
"5001600US4828","Congressional District 28 (116th Congress), Texas","434305","11134","116088","5286","112878","4675","130291","5299","75048","3922"
"5001600US4829","Congressional District 29 (116th Congress), Texas","369239","12870","115825","7440","94998","6150","111250","6366","47166","4163"
"5001600US4830","Congressional District 30 (116th Congress), Texas","479082","11936","122989","6962","120418","7207","156127","5971","79548","3658"
"5001600US4831","Congressional District 31 (116th Congress), Texas","602236","5813","137130","2870","172836","3718","190521","2766","101749","2225"
