"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"5001400US5309","Congressional District 9 (114th Congress), Washington","711466","10439","356161","6696","78100","3628","71989","3656","6111","1323","1251","533","4860","1197","278061","5565","180434","5925","97627","5856","49077","3688","48550","4742","355305","6985","74191","3777","66654","3892","7537","1714","1678","649","5859","1587","281114","5732","182714","5680","98400","5109","54285","3585","44115","4041"
"5001400US5504","Congressional District 4 (114th Congress), Wisconsin","717657","2951","347179","3211","93843","2295","91298","2435","2545","706","490","332","2055","539","253336","2751","220371","3612","32965","2577","11807","1508","21158","2134","370478","2711","88446","2161","87108","2197","1338","500","306","238","1032","441","282032","2132","252613","2545","29419","1979","12747","1370","16672","1770"
"5001400US0104","Congressional District 4 (114th Congress), Alabama","683372","5143","335709","3646","82108","1876","80934","1906","1174","641","269","294","905","578","253601","2654","242520","2635","11081","1078","2390","895","8691","1085","347663","3370","76376","2056","75205","2021","1171","706","111","182","1060","688","271287","2479","261623","2613","9664","1342","2868","848","6796","1151"
"5001400US1202","Congressional District 2 (114th Congress), Florida","711296","3373","360232","2902","71212","2034","70271","2112","941","369","262","239","679","328","289020","2006","271651","3076","17369","2587","7339","1310","10030","2216","351064","3026","68735","1857","67386","2087","1349","618","582","443","767","439","282329","2246","265684","2980","16645","1882","9039","1405","7606","1334"
"5001400US2603","Congressional District 3 (114th Congress), Michigan","725487","2999","361955","3573","92160","3088","90579","2949","1581","559","580","338","1001","442","269795","2931","252200","3149","17595","1806","7688","1351","9907","1589","363532","2792","85387","2595","83602","2564","1785","663","1007","517","778","379","278145","2378","263240","2816","14905","1567","6433","1245","8472","1127"
"5001400US5307","Congressional District 7 (114th Congress), Washington","732733","8488","371544","7089","60934","3855","58612","3599","2322","887","751","423","1571","698","310610","6724","258539","6647","52071","3709","22438","2212","29633","3201","361189","8180","54553","3735","51939","3693","2614","955","1004","463","1610","794","306636","6913","254791","6736","51845","3755","27525","2841","24320","3049"
"5001400US2602","Congressional District 2 (114th Congress), Michigan","724843","3385","354660","3660","88798","3118","87025","2907","1773","711","670","373","1103","663","265862","3219","247585","4059","18277","2010","5885","1012","12392","1931","370183","3337","87905","2915","85577","2912","2328","706","935","465","1393","578","282278","2458","263504","3061","18774","2054","8229","1532","10545","1738"
"5001400US3619","Congressional District 19 (114th Congress), New York","708116","6022","351883","3690","66917","1875","65617","1921","1300","520","534","427","766","395","284966","3222","264436","3701","20530","2208","11354","1593","9176","1560","356233","4172","68519","2818","67045","2850","1474","710","548","353","926","633","287714","2901","263181","3382","24533","2179","14717","1793","9816","1879"
"5001400US0802","Congressional District 2 (114th Congress), Colorado","765721","5777","389832","4579","80074","2605","78052","2677","2022","700","441","279","1581","671","309758","4022","284078","4314","25680","2369","11567","1511","14113","2165","375889","4311","72918","2436","70407","2538","2511","678","1201","548","1310","524","302971","3281","276861","3869","26110","2297","13218","1531","12892","1932"
"5001400US3707","Congressional District 7 (114th Congress), North Carolina","772311","7651","377184","4935","91048","2925","89825","3116","1223","699","141","131","1082","675","286136","3882","265558","4092","20578","2007","5930","1360","14648","1786","395127","4683","86034","2865","84352","3103","1682","863","619","540","1063","671","309093","3323","287490","3532","21603","2236","7179","1601","14424","1943"
"5001400US0652","Congressional District 52 (114th Congress), California","759602","15558","383167","8512","76696","4076","73128","4203","3568","1049","588","393","2980","1022","306471","7528","226990","7341","79481","5146","43481","3506","36000","3859","376435","9699","78686","4943","75732","5148","2954","811","734","410","2220","694","297749","7474","210746","6786","87003","5157","51595","3552","35408","3823"
"5001400US1306","Congressional District 6 (114th Congress), Georgia","732089","11992","362180","7774","96697","4299","90935","4003","5762","1385","1202","543","4560","1211","265483","7254","199448","7006","66035","4973","23575","2869","42460","4025","369909","7720","87971","4619","82599","4749","5372","1213","2002","853","3370","1092","281938","5738","219045","5530","62893","4021","28429","2613","34464","2893"
"5001400US1701","Congressional District 1 (114th Congress), Illinois","717741","17761","338726","8689","86062","5262","84907","5220","1155","627","474","499","681","405","252664","6846","229219","7195","23445","3090","11009","1796","12436","2575","379015","11471","80401","5762","79723","5711","678","396","331","231","347","329","298614","7861","276831","7798","21783","2454","12298","1690","9485","1750"
"5001400US4213","Congressional District 13 (114th Congress), Pennsylvania","725185","15711","353527","8738","83421","5143","79615","4849","3806","1071","1056","684","2750","806","270106","6787","211667","5683","58439","4524","31546","3125","26893","3777","371658","9309","78278","4333","73681","4121","4597","1704","1490","688","3107","1522","293380","6924","234207","6334","59173","3542","35451","2629","23722","2817"
"5001400US4831","Congressional District 31 (114th Congress), Texas","776518","6641","386495","3718","107693","1826","105492","1950","2201","739","374","264","1827","694","278802","2431","241676","3660","37126","2837","15821","2099","21305","2526","390023","3588","101166","2093","99048","2186","2118","910","403","339","1715","809","288857","2243","247242","3667","41615","3170","20816","2193","20799","2542"
"5001400US5505","Congressional District 5 (114th Congress), Wisconsin","722537","4348","355324","3586","83361","2308","82012","2307","1349","528","755","417","594","320","271963","2705","255559","3061","16404","1958","7616","1172","8788","1678","367213","3585","78332","2334","76204","2175","2128","830","1371","712","757","349","288881","3167","272974","3363","15907","1547","8376","1283","7531","1333"
"5001400US0904","Congressional District 4 (114th Congress), Connecticut","740215","4689","361123","3150","91754","2641","85408","2627","6346","1399","1070","527","5276","1355","269369","2476","197576","4425","71793","3650","29632","2958","42161","3096","379092","3340","87138","2437","82093","2723","5045","1368","1551","1084","3494","1047","291954","2682","216117","4232","75837","3831","37241","2753","38596","3046"
"5001400US1501","Congressional District 1 (114th Congress), Hawaii","707541","8886","356922","5663","73993","3125","69117","3104","4876","1135","858","495","4018","1012","282929","4167","224594","5525","58335","3541","33732","2506","24603","2830","350619","5018","68800","2524","64907","2548","3893","945","1060","431","2833","896","281819","3444","194711","4157","87108","3532","51770","2555","35338","3173"
"5001400US2907","Congressional District 7 (114th Congress), Missouri","765669","2484","375628","2451","90806","1874","89847","1929","959","876","338","438","621","742","284822","1725","274936","2053","9886","1133","2729","741","7157","1058","390041","2131","83874","1437","83489","1452","385","268","188","179","197","187","306167","1421","294438","1728","11729","1510","4914","1110","6815","1071"
"5001400US1716","Congressional District 16 (114th Congress), Illinois","699582","6714","344125","4071","77034","2088","75651","2089","1383","715","356","248","1027","749","267091","3056","250396","3031","16695","1790","8172","1490","8523","1452","355457","4108","79663","2398","78708","2454","955","375","504","298","451","303","275794","2785","260846","3146","14948","1632","7857","1214","7091","1451"
"5001400US3703","Congressional District 3 (114th Congress), North Carolina","759653","9555","385148","6151","84524","2867","83420","2777","1104","597","329","260","775","484","300624","4805","287019","5268","13605","1743","4650","1067","8955","1577","374505","6017","82218","3388","81350","3275","868","642","539","583","329","301","292287","4198","278208","4368","14079","1931","4883","904","9196","1791"
"5001400US4005","Congressional District 5 (114th Congress), Oklahoma","796326","3516","389300","2399","102614","1616","99303","1831","3311","974","457","392","2854","942","286686","1914","247620","2649","39066","2172","9053","1191","30013","2126","407026","2089","99992","1325","96182","1552","3810","982","698","461","3112","1035","307034","2036","269782","2502","37252","1862","12423","1673","24829","1756"
"5001400US4210","Congressional District 10 (114th Congress), Pennsylvania","696416","9082","350403","4906","73694","2406","72974","2441","720","306","579","272","141","117","276709","3998","267019","4010","9690","1292","5508","1028","4182","892","346013","5184","68493","2150","67643","2148","850","291","822","297","28","31","277520","4280","268285","4304","9235","1361","5843","1250","3392","1075"
"5001400US4810","Congressional District 10 (114th Congress), Texas","771009","19044","384149","11638","104771","6249","97748","5972","7023","1689","1471","720","5552","1811","279378","7454","225192","7303","54186","4424","21517","3087","32669","3460","386860","11087","98810","5487","93239","5716","5571","1298","2327","1039","3244","967","288050","7653","231125","7091","56925","4493","23567","2990","33358","3733"
"5001400US3913","Congressional District 13 (114th Congress), Ohio","707940","9208","343703","5096","74408","2952","73770","2901","638","357","496","321","142","146","269295","4386","257056","4412","12239","1754","4972","1069","7267","1569","364237","5751","69890","2724","69355","2761","535","382","377","272","158","212","294347","4167","284125","4024","10222","1352","5484","1016","4738","1062"
